Source,Target,Type,Id,Label,Weight
2195,2194,Undirected,7595,0,1
2196,486,Undirected,7597,0,3
2196,488,Undirected,7598,0,3
2196,1264,Undirected,7599,0,2
2196,1312,Undirected,7600,0,1
2196,1421,Undirected,7601,0,3
2196,1422,Undirected,7602,0,3
2197,486,Undirected,7604,0,7
2197,488,Undirected,7605,0,7
2197,1264,Undirected,7606,0,2
2197,1421,Undirected,7607,0,2
2197,1422,Undirected,7608,0,7
2197,2196,Undirected,7609,0,2
2198,267,Undirected,7611,0,1
2198,482,Undirected,7612,0,1
2198,488,Undirected,7613,0,1
2198,1423,Undirected,7614,0,1
2198,2190,Undirected,7615,0,1
2199,267,Undirected,7617,0,8
2199,482,Undirected,7618,0,2
2199,488,Undirected,7619,0,9
2199,489,Undirected,7620,0,1
2199,1418,Undirected,7621,0,1
2199,1423,Undirected,7622,0,9
2199,1424,Undirected,7623,0,1
2199,2187,Undirected,7624,0,1
2199,2190,Undirected,7625,0,3
2199,2198,Undirected,7626,0,1
2201,58,Undirected,7632,0,1
2201,488,Undirected,7633,0,1
2201,1425,Undirected,7634,0,1
2205,488,Undirected,7670,0,1
2205,495,Undirected,7671,0,1
2205,498,Undirected,7672,0,1
2205,504,Undirected,7673,0,1
2205,1437,Undirected,7674,0,1
2205,1896,Undirected,7675,0,1
2205,2195,Undirected,7676,0,1
2206,1,Undirected,7678,0,1
2206,184,Undirected,7679,0,1
2206,488,Undirected,7680,0,1
2206,500,Undirected,7681,0,1
2206,1792,Undirected,7682,0,1
2213,1,Undirected,7721,0,1
2213,488,Undirected,7722,0,1
2213,493,Undirected,7723,0,1
2213,515,Undirected,7724,0,1
2213,1428,Undirected,7725,0,1
2215,1,Undirected,7732,0,1
2215,488,Undirected,7733,0,1
2215,493,Undirected,7734,0,1
2215,517,Undirected,7735,0,1
2215,1428,Undirected,7736,0,1
2215,1437,Undirected,7737,0,1
2215,1452,Undirected,7738,0,1
2216,45,Undirected,7740,0,1
2216,518,Undirected,7741,0,1
2216,526,Undirected,7742,0,1
2216,534,Undirected,7743,0,2
2216,1423,Undirected,7744,0,2
2216,1453,Undirected,7745,0,1
2216,1459,Undirected,7746,0,1
2218,520,Undirected,7753,0,1
2218,1423,Undirected,7754,0,1
2218,1437,Undirected,7755,0,1
2218,1455,Undirected,7756,0,1
2219,45,Undirected,7758,0,1
2219,521,Undirected,7759,0,1
2219,534,Undirected,7760,0,1
2219,1312,Undirected,7761,0,1
2219,1423,Undirected,7762,0,1
2219,1513,Undirected,7763,0,1
2219,2195,Undirected,7764,0,1
2221,1,Undirected,7770,0,1
2221,218,Undirected,7771,0,1
2221,223,Undirected,7772,0,1
2221,235,Undirected,7773,0,1
2221,522,Undirected,7774,0,2
2221,677,Undirected,7775,0,1
2221,1029,Undirected,7776,0,1
2221,1205,Undirected,7777,0,1
2221,1437,Undirected,7778,0,1
2221,1513,Undirected,7779,0,1
2223,1,Undirected,7785,0,1
2223,79,Undirected,7786,0,1
2223,135,Undirected,7787,0,1
2223,661,Undirected,7788,0,1
2223,1174,Undirected,7789,0,1
2223,1284,Undirected,7790,0,1
2223,1285,Undirected,7791,0,1
2223,1437,Undirected,7792,0,1
2223,1457,Undirected,7793,0,1
2232,1,Undirected,7844,0,2
2232,31,Undirected,7845,0,1
2232,174,Undirected,7846,0,1
2232,207,Undirected,7847,0,1
2232,534,Undirected,7848,0,1
2232,661,Undirected,7849,0,2
2232,1201,Undirected,7850,0,1
2232,1337,Undirected,7851,0,1
2232,1423,Undirected,7852,0,2
2232,1467,Undirected,7853,0,1
2232,2129,Undirected,7854,0,1
2232,2190,Undirected,7855,0,1
2235,45,Undirected,7867,0,4
2235,50,Undirected,7868,0,3
2235,51,Undirected,7869,0,5
2235,52,Undirected,7870,0,2
2235,79,Undirected,7871,0,5
2235,101,Undirected,7872,0,1
2235,118,Undirected,7873,0,1
2235,273,Undirected,7874,0,4
2235,306,Undirected,7875,0,1
2235,403,Undirected,7877,0,1
2235,528,Undirected,7878,0,1
2235,534,Undirected,7879,0,3
2235,541,Undirected,7880,0,1
2235,544,Undirected,7881,0,1
2235,568,Undirected,7882,0,1
2235,715,Undirected,7883,0,5
2235,1093,Undirected,7884,0,2
2235,1149,Undirected,7885,0,3
2235,1242,Undirected,7886,0,1
2235,1269,Undirected,7887,0,1
2235,1337,Undirected,7889,0,2
2235,1423,Undirected,7890,0,6
2235,1437,Undirected,7891,0,6
