Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
3366,3366,?E???車窓か?,56870.33333,515.3333333,182.7916667,2011/2/25 0:00,2015/10/20 0:00,175.7083333,60122.92857,0,0.511250404,"<[1.2985596E12, 1.4452668E12]>",14
278,278,MOONLIGHT,81489.0,633.0,303.0,2011/1/16 0:00,2015/10/20 0:00,161.0,86662.13874,0,0.904079038,"<[1.2951036E12, 1.4452668E12]>",14
3448,3448,卵,47759.0,396.0,132.0,2011/3/11 0:00,2015/10/20 0:00,165.0,50131.75242,0,0.437824902,"<[1.2997692E12, 1.4452668E12]>",14
1256,1256,ハウメア_.準惑?.,31942.64073,829.1432062,206.526779,2011/5/20 0:00,2015/10/20 0:00,474.5304454,35848.83924,0,0.534410377,"<[1.3058172E12, 1.4452668E12]>",14
6220,6220,謎?白ぶ??,11671.0,439.0,128.0,2012/1/2 0:00,2015/10/20 0:00,518.0,14014.25225,0,0.069761173,"<[1.32543E12, 1.4452668E12]>",15
289,289,サ?_ネ?イホイ,24444.68182,956.3636364,174.9545455,2011/7/1 0:00,2015/10/20 0:00,669.3636364,27989.60232,0,0.511249832,"<[1.309446E12, 1.4452668E12]>",19
4036,4036,ぼっちがGM,61078.0,1019.0,303.0,2012/10/18 0:00,2015/10/20 0:00,1084.0,66625.3596,0,0.627690517,"<[1.350486E12, 1.4452668E12]>",18
1749,1749,め?くり????????,15984.06897,392.9655172,155.0344828,2012/12/20 0:00,2015/10/20 0:00,672.4827586,18693.21098,0,0.7766812,"<[1.3559292E12, 1.4452668E12]>",18
1922,1922,ベイズの定理,2148.0,81.0,58.0,2012/3/5 0:00,2015/10/20 0:00,307.0,3096.131176,0,0.27102111,"<[1.3308732E12, 1.4452668E12]>",16
1117,1117,フォーゼ,2148.0,81.0,58.0,2012/3/5 0:00,2015/10/20 0:00,307.0,3096.131176,0,0.27102111,"<[1.3308732E12, 1.4452668E12]>",16
5814,5814,癒し系,21307.0,492.0,123.0,2011/5/1 0:00,2015/10/20 0:00,180.5,23632.95794,0,0.089024813,"<[1.3041756E12, 1.4452668E12]>",19
2906,2906,日?,6790.324324,176.8918919,47.54054054,2012/1/29 0:00,2015/10/20 0:00,346.6756757,7675.863622,0,0.511249833,"<[1.3277628E12, 1.4452668E12]>",17
6286,6286,誰が上手ぁ?と言えと,19085.0,824.0,117.0,2011/6/13 0:00,2015/10/20 0:00,280.0,21630.09528,0,0.123074514,"<[1.3078908E12, 1.4452668E12]>",19
501,501,X.審議中.,1204.860913,2094.417087,481.9894238,2011/6/16 0:00,2015/10/20 0:00,913.6105396,9369.036654,0,0.756315268,"<[1.30815E12, 1.4452668E12]>",19
5246,5246,昭和大学,10743.0,442.0,81.0,2011/7/1 0:00,2015/10/20 0:00,260.0,12382.65897,0,0.785703289,"<[1.309446E12, 1.4452668E12]>",14
